question,reference_context
ใน CS แสดงการเปรียบเทียบของวิชา Computer Animation กับวิชา Computer Game Development ให้ดูหน่อย,"CP 351 201 คอ มพิวเตอร์ แอนิเมชัน 
  3 (2-2-5) 
  Computer Animation 
  
  เงื่อนไข ของ รายวิชา : CP 351 001 หรือ SC 311 001 
  
  หลักการ พื้นฐาน ของ กา รท า แอนิเมชัน ด้วย คอมพิวเตอร์ กระบวนการ แอ นิ เม ชั้น แบบ สอง มิติ การ ใช้ 
  โปรแกรม ส าเร็จ รูปวาด ตัวละคร การ วาด ฉาก ความลึก และ ต า แห น่ง การ จัดการ กล้อง การ จัด โครงกระดูก และ 
  แอนิเมชัน ตัวละคร เส้น เวลา วิ ชว ล เอฟ เฟค เสียง เอฟ เฟค ดนตรี การ ฝึก ทักษะ ใน การ ใช้ เทคโนโลยี เพื่อ การ 
  ผลิต ภาพ คอมพิวเตอร์ แอนิเมชัน 
  Basic principles of computer animation ; 2 D animation processes ; using up-to-date 
  computer applications for character drawing , scene drawing , depth and position , camera 
  management , skeletal posing and character animation , timeline , visual effect , sound effect , 
  music ; hands-on practice by using technologies for computer animation 
 ===========================================================
 CP 352 203 กา ร พัฒนา เกม คอมพิวเตอร์ 
  3 (2-2-5) 
  Computer Game Development 
  
  เงื่อนไข ของ รายวิชา : CP 351 003 หรือ SC 311 103 
  
  ความรู้ พื้นฐาน เกี่ยวกับ เกม คอมพิวเตอร์ เครื่องมือ พัฒนา เกม การ วิเคราะห์ และ ออกแบบ เกม การ 
  เขียน โปรแกรม สร้าง เกม แบบ 2 มิติ และ 3 มิติ ภาพเคลื่อนไหว กราฟ ของ ฉาก การควบคุม กล้อง เสียง และ 
  ดนตรี ประกอบ การ จ า ลอง ฟิสิกส์ แนะ น า ปัญญาประดิษฐ์ ส า หรับ เกม ทฤษฎี เกม การ ค้นหา เส้นทาง การ สร้าง 
  เกม ออนไลน์ แบบ หลาย ผู้ เล่น และ การ สร้าง โครงงาน เกม อิสระ 
  Introduction to computer game , game development tools , game analysis and design , 
  2 D and 3 D game programming , animation , scene graphs , camera control , sound effect and 
  music , physics simulation , introduction to artificial intelligence for game , game theory , path 
  finding , creating multiplayer online game , and independent game project"
ใน CS เรากำลังจะลง วิชาสังคมศาสตร์และการจัดการแต่เราไม่รู้จะเอาวิชาไหนดี ทำการเปรียบเทียบให้หน่อย,"(3.2) กลุ่มวิชาสังคมศาสตร์และการจัดการ
 **LW 011 105 ความรู้เบื้องต้นเกี่ยวกับกฎหมายทั่วไป
 3(3-0-0)
 Introduction to Law
 
 **BS 952 261 หลักการจัดการ
 3(3-0-6)
 Principles of Management
 
 ===========================================================
 
 **LW 011 105 ความ รู้ เบื้องต้น เกี่ยวกับ กฎหมาย ทั่วไป 
  3 (3-0-6) 
  Introduction to Law 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  ศึกษา แนว หลักเกณฑ์ พื้นฐาน ของ กฎหมาย โดยทั่วไป การ แยกประเภท ของ กฎหมาย ขอบเขต ที่ 
  กฎหมาย บังคับใช้ ศัพท์ กฎหมาย ที่ ควร รู้ หลัก ส าคัญ ใน การ กระ ท า ผิด ทางอาญา และ กฎหมาย ว่าด้วย 
  ความสัมพันธ์ ของ ครอบครัว ทั้งนี้ เพื่อให้ รู้จัก สิทธิ หน้าที่ และ เสรีภาพ อัน พึง ได้รับ ตามกฎหมาย 
  The study of the concepts , types , and scope of law .
 
 ===========================================================
  **BS 952 261 หลักการ จัดการ 
  3 (3-0-6) 
  Principles of Management 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  แนวคิด และ ทฤษฎี การ จัดการ การบริหาร การเปลี่ยนแปลง กลยุทธ์ การเจรจาต่อรอง หน้าที่ ของ การ 
  จัดการ สภาพแวดล้อม ของ ธุรกิจ และ วัฒนธรรม องค์การ การวางแผน กระบวน การตัดสินใจ กระบวนการ 
  วางแผน การ จัด องค์กร การ จัดการ ทรัพยากร มนุษย์ การ สั่งการ และ อ า นวย การ ภาวะ ผู้ น า การจูงใจ มุ่ง ผลงาน 
  คณะ ท า งาน และ การ ร่วมมือ การสื่อสาร เพื่อ การ จัดการ การควบคุม 
  
  Major concepts and management theory , change management , negotiation strategy , 
  functions of management , business environment and organization culture , planning , decision 
  process , planning process , organizing , human resource management , leading , leadership , 
  motivation , team and teamwork , communication for management , controlling"
"ใน CS เปรียบเทียบวิชา Wireless and Mobile Communication Networks , Internetworking และ Cryptography and Network Security ให้หน่อย","CP 352 302 เค รือ ข่าย สื่อสาร ไร้สาย และ เคลื่อนที่ 
  3 (2-2-5) 
  Wireless and Mobile Communication Networks 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  เทคโนโลยี เคลื่อนที่ ขั้น แนะ น า พื้นฐาน เครือข่าย ไร้สาย เครือข่าย ไร้สาย แบบ เฉพาะที่ เครือข่าย ไร้สาย 
  แบบ ส่วนตัว อินเทอร์เน็ต ของ สรรพสิ่ง เครือข่าย เซนเซอร์ เครือข่าย แอด ฮอค เครือข่าย เซ ลลูลาร์ เทคโนโลยี 
  อินเทอร์เน็ต บน เครือข่าย ไร้สาย ที ซี พี ใน เครือข่าย ไร้สาย พื้นฐาน ด้าน กายภาพ ความมั่นคง ปลอดภัย บน 
  เครือข่าย ไร้สาย ขั้น แนะ น า 
  Introduction to mobile technology , wireless networking basic , wireless local area 
  networks , wireless personal area networks , internet of thing , sensor networks , ad hoc 
  networks , cellular networks , internet technology in wireless networks , TCP in wireless 
  networks , fundamental to physical , introduction to wireless network security 
 ===========================================================
 CP 353 301 กา ร เชื่อมต่อ อินเทอร์เน็ต 
  3 (2-2-5) 
  Internetworking 
  
  เงื่อนไข ของ รายวิชา : CP 352 005 หรือ SC 312 005 
  
  เครือข่าย คอมพิวเตอร์ และ อินเทอร์เน็ต โพ ร โต คอ ล ที่ ใช้ เลือก เส้นทาง การ เลือก เส้นทาง แบบ มัลติ คาสต์ 
  และ การควบคุม ความแออัด บน อินเทอร์เน็ต การ หลีกเลี่ยง ความหนาแน่น การ จัดการ แถว คอย การควบคุม 
  การ ยอมให้ เข้า และ โพ ร โต คอ ล ควบคุม การ ส่ง ข้อมูล การ สนับสนุน สื่อผสม บน อินเทอร์เน็ต โพ ร โต คอ ล แบบ 
  ทันที และ โพ ร โต คอ ลส า หรับ การ จอง ทรัพยากร หัวข้อ ขั้นสูง ด้าน เครือข่าย คอมพิวเตอร์ 
  Computer networks and internet , routing protocols , multicast routing , congestion 
  control and congestion avoidance , queue management , admission control , transmission 
  control protocol , multimedia support on internet , real- time protocol and resource 
  reservation protocol , advanced topics in computer networks 
 ===========================================================
 CP 353 303 วิ ทยา การเข้ารหัส ลับ และ ความมั่นคง ระบบเครือข่าย 
  3 (2-2-5) 
  Cryptography and Network Security 
  
  เงื่อนไข ของ รายวิชา : CP 352 005 หรือ SC 312 005 
  
  ความรู้ พื้นฐาน ด้าน ความมั่นคง วิทยา การเข้ารหัส ลับ และ วิธีการ ถอดรหัส ทฤษฎี จ านวน ขั้น แนะ น า 
  การเข้ารหัส แบบ สมมาตร การเข้ารหัส แบบ สตรีม การเข้ารหัส แบบ บล็อก รูปแบบ กา รด า เนิน การ การเข้ารหัส 
  แบบ อสมมาตร ฟังก์ชัน แฮ ช เข้ารหัส รหัส การ ตรวจสอบ ข้อความ ลายเซ็น ดิจิทัล การ สร้าง คีย์ และ การแจกจ่าย 
  คีย์ โครงสร้างพื้นฐาน กุญแจ สาธารณะ การ ระบุ และ การ ยืนยัน ตัวจริง โปรโตคอล การเข้ารหัส การพิสูจน์ โดย 
  ความรู้ เป็น ศูนย์ การเข้ารหัส ควอนตัม ขั้น แนะ น า 
  Security fundamentals , cryptography and cryptanalysis , introduction to number theory , 
  symmetric cryptography , stream ciphers , block ciphers , mode of operations , asymmetric 
  cryptography , cryptographic hash functions , message authentication code , digital signatures , 
  key establishment and key distribution , Public Key Infrastructures (PKIs), identification and 
  authentication , cryptographic protocols , zero-knowledge proof , introduction to quantum 
  cryptography"
ใน CS วิชาปฏิบัติการปัญญาประดิษฐ์ กับวิชาการเขียนโปรแกรมคอมพิวเตอร์ควอนตัม ต่างกันยังไง,"CP 353 110 ปฏิ บัติ การ ปัญญาประดิษฐ์ 
  3 (2-2-5) 
  Artificial Intelligence Workshop 
  
  เงื่อนไข ของ รายวิชา : CP 353 003 หรือ SC 313 006 
  
  การเขียน โปรแกรม ไพธอน การ ใช้ แพลตฟอร์ม คลาวด์ และ โปรแกรม ส าเร็จ รูป ส า หรับ 
  แก้ปัญหา โดย ใช้ เทคนิค การเรียนรู้ ของ เครื่อง และ การเรียนรู้เชิงลึก การแก้ปัญหา 
  โครงการ 
  
  Python programming , cloud platforms and software for problem 
  solving using machine learning and deep learning , project solving 
 ===========================================================
 CP 353 111 การเขียน โปรแกรมคอมพิวเตอร์ ควอนตัม 
  3 (2-2-5) 
  Quantum Computer Programming 
  
  เงื่อนไข ของ รายวิชา : CP 352 001 และ SC 402 101 
  
  คณิตศาสตร์ ที่ จ า เป็น , ภาษา โปรแกรม และ เครื่องมือ ส า หรับ คอมพิวเตอร์ ควอนตัม , สถานะ ควอนตัม 
  และ คิว บิท , คิว บิท และ ความยุ่งเหยิง หลาย จุด , โปรโตคอล ควอนตัม และ อัลกอริทึม ควอนตัม , วงจร ควอนตัม , 
  อัลกอริทึม ควอนตัม และ ตัวอย่าง การ ประยุกต์ ใช้งาน 
  Essential Mathematics , Programming Language and Tools for Quantum Computer , 
  Quantum States and Qubits , Multiple Qubits and Entanglement , Quantum Protocols and 
  Quantum Algorithms , Quantum Circuits , Quantum Algorithms and Examples of Applications"
ใน CS เราต้องเก็บวิชา กลุ่มวิชาคณิตศาสตร์และวิทยาศาสตร์กี่หน่วยกิต,"(3) กลุ่มวิชาคณิตศาสตร์และวิทยาศาสตร์ 15 หน่วยกิต
 **GE 321 415 ทักษะการเรียนรู้
 3(3-0-6)
 Learning Skills
 
 **GE 362 785 การคิดเชิงสร้างสรรค์และการแก้ปัญหา
 3(3-0-6)
 Creative Thinking and Problem Solving
 
 **GE 363 789 ผู้ประกอบการสร้างสรรค์
 3(3-0-6)
 Creative Entrepreneurs
 
 *GE 341 511 การคิดเชิงค านวณและเชิงสถิติส าหรับเอบีซีดี
 3(2-2-5)
 Computational & Statistical Thinking for ABCD
 
 *GE 341 512 เอบีซีดีส าหรับทุกวิชาชีพ
 3(2-2-5)
 ABCD for All Professions"
ใน CS เราจะได้ทำโครงงานปีไหน,"ปีที่ 4 ภาคการศึกษาที่ 1
 
 แบบเลือกเรียนวิชาโครงงานทางวิทยาการคอมพิวเตอร์
 แบบเลือกเรียนวิชาสหกิจศึกษา
 **CP 354 771 โครงงานทางวิทยาการ
 คอมพิวเตอร์ 1
 3(0-9-6)
 XXX XXX วิชาเลือกเสรี
 Free Electives
 6 หน่วยกิต
 
 Computer Science
 Project I
 
 XXX XXX วิชาเลือกเสรี
 6 หน่วยกิต
 
 Free Electives
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 9 หน่วยกิต
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6 หน่วยกิต
 
 รวมจ านวนหน่วยกิตสะสม 125 หน่วยกิต
 รวมจ านวนหน่วยกิตสะสม 122 หน่วยกิต
 ===========================================================
 ปีที่ 4 ภาคการศึกษาที่ 2
 
 แบบเลือกเรียนวิชาโครงงานทางวิทยาการคอมพิวเตอร์
 แบบเลือกเรียนวิชาสหกิจศึกษา
 **CP 354 772 โครงงานทางวิทยาการ
 คอมพิวเตอร์ 2
 3(0-6-3)
 **CP 354 785
 สหกิจศึกษาทาง
 วิทยาการ
 คอมพิวเตอร์
 6(0-18-9)
 
 Computer Science
 Project II
 
 Co-Operative
 Education in
 Computer
 Science
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 3 หน่วยกิต
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6 หน่วยกิต
 
 รวมจ านวนหน่วยกิตสะสม 128 หน่วยกิต
 รวมจ านวนหน่วยกิตสะสม 128 หน่วยกิต
 หมายเหตุ หลักสูตรวิทยาการคอมพิวเตอร์ อาจจะพิจารณาเปิดรายวิชาสหกิจศึกษาทั้งภาคต้นและภาคปลาย"
ใน CS ตอนนี้เราอยู่ปี 3 ถ้าเลือกแผนสหกิจศึกษาต้องทำยังไงบ้าง,"ปีที่ 3 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 
 
 **GE 142 145 ภาวะผู้น าและการจัดการ
 
 3(3-0-6)
 
 
 
 Leadership and Management
 
 
 
 **CP 353 004 วิศวกรรมซอฟต์แวร์
 
 3(2-2-5)
 
 
 
 Software Engineering
 
 
 
 **CP 353 005 ทฤษฎีการค านวณ
 
 3(3-0-6)
 
 
 
 Theory of Computation
 
 
 
 **CP 353 764 ระเบียบวิธีวิจัย
 
 3(3-0-6)
 
 
 
 Research Methodology
 
 
 
 *CP 353 796 การฝึกงานทางวิทยาการคอมพิวเตอร์
 
 3(0-9-5)*
 
 
 
 Internship in Computer Science
 
 (ไม่นับหน่วยกิต)
 
 
 
 CP 35X XXX วิชาเลือกเฉพาะทาง
 
 6 หน่วยกิต
 
 
 
 Specialized Electives
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 18 หน่วยกิต
 
 
 
 รวมจ านวนหน่วยกิตสะสม 116 หน่วยกิต
 
 
 
 ส าหรับนักศึกษาที่จะเลือกแผนสหกิจศึกษาให้ลงเพิ่มอีก 1 รายวิชา
 
 
 
 **CP 002 001 การเตรียมความพร้อมก่อนปฏิบัติงานสหกิจศึกษาส าหรับนักศึกษา
 
 วิทยาลัยการคอมพิวเตอร์
 
 1(0-2-2)*
 
 (ไม่นับหน่วยกิต)
 
 
 
 วิชาเลือกเพิ่มเติมที่สามารถลงได้:
 
 - CP 353 112 Big Data Analytics
 
 - CP 353 205 Geo-Informatics Application Development
 
 - CP 353 302 Information and Cyber Security
 
 - SC 363 202 Semantic Web Technology
 
 - SC 363 305 Cloud Computing and Application
 
 - CP 352 102 Digital Image Processing
 
 - CP 352 108 Basics of Data Engineering
 
 - CP 352 202 Programming for Mobile Application
 
 - CP 353 109 Natural Language Processing
 
 - CP 353 111 Quantum Computer Programming
 
 - SC 310 006 Mobile and Web Application Development"
ใน CS ขอดูแผนของ โครงงาน กับ สหกิจหน่อย,"ปีที่ 4 ภาคการศึกษาที่ 1
 
 
 
 แบบเลือกเรียนวิชาโครงงานทางวิทยาการคอมพิวเตอร์
 
 แบบเลือกเรียนวิชาสหกิจศึกษา
 
 **CP 354 771 โครงงานทางวิทยาการ
 
 คอมพิวเตอร์ 1
 
 3(0-9-6)
 
 XXX XXX วิชาเลือกเสรี
 
 Free Electives
 
 6 หน่วยกิต
 
 
 
 Computer Science
 
 Project I
 
 
 
 XXX XXX วิชาเลือกเสรี
 
 6 หน่วยกิต
 
 
 
 Free Electives
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 9 หน่วยกิต
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6 หน่วยกิต
 
 
 
 รวมจ านวนหน่วยกิตสะสม 125 หน่วยกิต
 
 รวมจ านวนหน่วยกิตสะสม 122 หน่วยกิต
 
 ===========================================================
 
 ปีที่ 4 ภาคการศึกษาที่ 2
 
 
 
 แบบเลือกเรียนวิชาโครงงานทางวิทยาการคอมพิวเตอร์
 
 แบบเลือกเรียนวิชาสหกิจศึกษา
 
 **CP 354 772 โครงงานทางวิทยาการ
 
 คอมพิวเตอร์ 2
 
 3(0-6-3)
 
 **CP 354 785
 
 สหกิจศึกษาทาง
 
 วิทยาการ
 
 คอมพิวเตอร์
 
 6(0-18-9)
 
 
 
 Computer Science
 
 Project II
 
 
 
 Co-Operative
 
 Education in
 
 Computer
 
 Science
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 3 หน่วยกิต
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6 หน่วยกิต
 
 
 
 รวมจ านวนหน่วยกิตสะสม 128 หน่วยกิต
 
 รวมจ านวนหน่วยกิตสะสม 128 หน่วยกิต
 
 หมายเหตุ หลักสูตรวิทยาการคอมพิวเตอร์ อาจจะพิจารณาเปิดรายวิชาสหกิจศึกษาทั้งภาคต้นและภาคปลาย"
ใน CS หมวดวิชาพื้นฐานหรือวิชาแกนต้องเก็บหน่วยกิต กี่หน่วยกิต,"3.1.3.2 หมวดวิชาเฉพาะ (Core Courses)
 (1) หมวดวิชาพื้นฐานหรือวิชาแกน 25 หน่วยกิต
 (1.1) กลุ่มวิชาบังคับพื้นฐานวิชาชีพ
 
 **SC 002 104 วิทยาศาสตร์กายภาพ
 3(3-0-6)
 Physical Science
 
 **SC 401 201 แคลคูลัสส าหรับวิทยาศาสตร์กายภาพ 1
 3(3-0-6)
 Calculus for Physical Science 1
 
 **SC 401 202 แคลคูลัสส าหรับวิทยาศาสตร์กายภาพ 2
 3(3-0-6)
 Calculus for Physical Science 2
 
 **SC 402 101 พีชคณิตเชิงเส้น 1
 3(3-0-6)
 
 Linear Algebra 1
 
 **SC 402 401 วิยุตคณิตและการประยุกต์
 3(3-0-6)
 
 Discrete Mathematic and Applications
 
 **SC 403 602 วิธีเชิงตัวเลขส าหรับวิทยาการคอมพิวเตอร์
 3(3-0-6)
 
 Numerical Methods for Computer Science
 
 **SC 602 005 ความน่าจะเป็นและสถิติ
 3(3-0-6)
 
 Probability and Statistics
 
 (1.2) กลุ่มวิชาบังคับสัมมนา ระเบียบวิธีวิจัย และฝึกงาน
 **CP 353 761 สัมมนาทางวิทยาการคอมพิวเตอร์
 1(1-0-2)
 
 Seminar in Computer Science
 
 **CP 353 764 ระเบียบวิธีวิจัย
 3(3-0-6)
 
 Research Methodology
 
 *CP 353 796 การฝึกงานทางวิทยาการคอมพิวเตอร์
 3(0-9-5)
 
 Internship in Computer Science
 (ไม่นับหน่วยกิต)
 (2) หมวดวิชาเฉพาะด้าน"
ใน CS ต้องเก็บหน่วยกิตของหมวดวิชาศึกษาทั่วไปกี่หน่วยกิต,"3.1.3 รายวิชา
 3.1.3.1 หมวดวิชาศึกษาทั่วไป (General Education Courses) 30 หน่วยกิต
 (1) กลุ่มวิชาภาษา
 12 หน่วยกิต
 **LI 101 001 ภาษาอังกฤษ 1
 3(3-0-6)
 English I
 
 **LI 101 002 ภาษาอังกฤษ2
 3(3-0-6)
 English II
 
 **LI 102 003 ภาษาอังกฤษ3
 3(3-0-6)
 English III
 
 **LI 102 004 ภาษาอังกฤษ4
 3(3-0-6)
 
 English IVปีที่ 3
 
 (2) กลุ่มวิชามนุษยศาสตร์และสังคมศาสตร์ 3 หน่วยกิต
 **GE 142 145 ภาวะผู้น าและการจัดการ
 3(3-0-6)
 Leadership and Management
 
 (3) กลุ่มวิชาคณิตศาสตร์และวิทยาศาสตร์ 15 หน่วยกิต
 **GE 321 415 ทักษะการเรียนรู้
 3(3-0-6)
 Learning Skills
 
 **GE 362 785 การคิดเชิงสร้างสรรค์และการแก้ปัญหา
 3(3-0-6)
 Creative Thinking and Problem Solving
 
 **GE 363 789 ผู้ประกอบการสร้างสรรค์
 3(3-0-6)
 Creative Entrepreneurs
 
 *GE 341 511 การคิดเชิงค านวณและเชิงสถิติส าหรับเอบีซีดี
 3(2-2-5)
 Computational & Statistical Thinking for ABCD
 
 *GE 341 512 เอบีซีดีส าหรับทุกวิชาชีพ
 3(2-2-5)
 ABCD for All Professions"
ใน CS หมวดวิชาเลือกเสรี ต้องเรียนกี่หน่วยกิต,"3.1.3.3 หมวดวิชาเลือกเสรี (Free Elective Courses)
 ให้นักศึกษาลงทะเบียนเรียนรายวิชาเลือกเสรีที่เปิดสอนในมหาวิทยาลัยขอนแก่น โดยได้รับความเห็นชอบจากคณะ
 กรรมการบริหารหลักสูตร จ านวนไม่น้อยกว่า 6 หน่วยกิต"
ใน CS ต้องเก็บหน่วยกิต กลุ่มวิชามนุษยศาสตร์และสังคมศาสตร์กี่หน่วยกิต,"(2) กลุ่มวิชามนุษยศาสตร์และสังคมศาสตร์ 3 หน่วยกิต
 **GE 142 145 ภาวะผู้น าและการจัดการ
 3(3-0-6)
 Leadership and Management"
ใน CS จำนวนหน่วยกิตตลอดหลักสูตรเป็นเท่าไหร่,"3. หลักสูตรและอาจารย์ผู้สอน
 3.1 หลักสูตร
 3.1.1 จ านวนหน่วยกิต รวมตลอดหลักสูตร 128 หน่วยกิต
 3.1.2 โครงสร้างหลักสูตร
 จ านวนหน่วยกิตรวมตลอดหลักสูตร
 หน่วยกิต
 1. หมวดวิชาศึกษาทั่วไป
 หน่วยกิต
 1.1 กลุ่มวิชาภาษา
 หน่วยกิต
 1.2 กลุ่มวิชามนุษยศาสตร์และสังคมศาสตร์
 หน่วยกิต
 1.3 กลุ่มวิชาคณิตศาสตร์และวิทยาศาสตร์
 หน่วยกิต
 2. หมวดวิชาเฉพาะ
 หน่วยกิต
 2.1 วิชาพื้นฐานหรือวิชาแกน
 หน่วยกิต
 2.2 วิชาเฉพาะด้าน
 หน่วยกิต
 2.2.1 กลุ่มประเด็นด้านองค์การและระบบสารสนเทศ
 หน่วยกิต
 2.2.2 กลุ่มเทคโนโลยีเพื่องานประยุกต์
 หน่วยกิต
 2.2.3 กลุ่มเทคโนโลยีและวิธีการทางซอฟต์แวร์
 หน่วยกิต
 2.2.4 กลุ่มโครงสร้างพื้นฐานของระบบ
 หน่วยกิต
 2.2.5 กลุ่มวิชาฮาร์ดแวร์และสถาปัตยกรรม
 หน่วยกิต
 2.2.6 โครงงานหรือสหกิจศึกษา
 หน่วยกิต
 2.3 วิชาเลือก
 หน่วยกิต
 3. หมวดวิชาเลือกเสรี
 หน่วยกิต"
ใน AI นักศึกษาชั้นปีที่ 1 ภาคเรียนที่ 1 ต้องลงทะเบียนรายวิชาใด,"ปีที่ 1 ภาคการศึกษาที่ 1
 
 หน่วยกิต
 
 
 
 **LI 101 001 ภาษาอังกฤษ 1
 
 3(3-0-6)
 
 
 
 English I
 
 
 
 **GE 341 511 การคิดเชิงค านวณและเชิงสถิติส าหรับเอบีซีดี
 
 3(3-0-6)
 
 
 
 Computational & Statistical Thinking for ABCD
 
 
 
 SC 401 201* แคลคูลัสส าหรับวิทยาศาสตร์กายภาพ 1
 
 3(3-0-6)
 
 
 
 (เปลี่ยนแปลง) Calculus for Physical Science I
 
 
 
 SC 602 005* ความน่าจะเป็นและสถิติ
 
 3(3-0-6)
 
 
 
 (เปลี่ยนแปลง) Probability and Statistics
 
 
 
 *CP 411 105 ระบบคอมพิวเตอร์
 
 3(3-0-6)
 
 
 
 Computer Systems
 
 
 
 *CP 411 106 การเขียนโปรแกรมส าหรับการเรียนรู้ของเครื่อง
 
 3(2-2-5)
 
 
 
 Programming for Machine Learning
 
 
 
 *CP 411 701 แรงบันดาลใจของปัญญาประดิษฐ์
 
 2(2-0-4)
 
 
 
 Artificial Intelligence inspiration
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 20 หน่วยกิต"
ใน AI ตอนปี 1 เทอม 2 เราต้องลงอะไรบ้างอะ,"ปีที่ 1 ภาคการศึกษาที่ 2
 หน่วยกิต
 
 **LI 101 002 ภาษาอังกฤษ 2
 3(3-0-6)
 
 English II
 
 *CP 411 001 ปัญญาประดิษฐ์
 3(2-2-5)
 
 Artificial Intelligence
 
 SC 402 101* พีชคณิตเชิงเส้น 1
 3(3-0-6)
 
 (เปลี่ยนแปลง) Linear Algebra I
 
 *CP 411 108 ระบบจัดการฐานข้อมูล
 3(2-2-5)
 
 Database management system
 
 *CP 001 001 เอ บี ซี ดี ส าหรับทุกวิชาชีพ
 3(3-0-6)
 
 ABCD for All Professions
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 18 หน่วยกิต"
ใน AI ขอแผนการเรียนปี 2 เทอม 1 หน่อยครับ,"ปีที่ 2 ภาคการศึกษาที่ 1
 หน่วยกิต
 
 **GE 142 145 ภาวะผู้น าและการจัดการ
 3(3-0-6)
 
 Leadership and Management
 
 **LI 102 003 ภาษาอังกฤษ 3
 3(3-0-6)
 
 English III
 
 *CP 412 002 การเรียนรู้ของเครื่อง
 3(2-2-5)*
 
 Machine Learning
 
 (เปลี่ยนแปลง)
 
 *CP 412 003 วิทยาศาสตร์ข้อมูล
 3(2-2-5)
 
 Data Science
 
 *CP 411 107 โครงสร้างข้อมูลและขั้นตอนวิธี
 3(3-0-6)
 
 Data Structures and Algorithms
 
 *CP 412 703 การฝึกปฏิบัติงานปัญญาประดิษฐ์ 1
 1(0-2-1)
 
 Artificial Intelligence Workshop I
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 19 หน่วยกิต"
ใน AI ปี 3 เทอม 1 เลือกเรียนวิชาอะไรได้บ้าง,"ปีที่ 3 ภาคการศึกษาที่ 1
 
 หน่วยกิต
 
 
 
 *CP 413 008 วิศวกรรมการเรียนรู้ของเครื่องส าหรับการผลิต
 
 3(2-2-5)
 
 
 
 Machine Learning Engineering for Production
 
 
 
 *CP 413 705 การฝึกปฏิบัติงานปัญญาประดิษฐ์ 3
 
 1(0-2-1)
 
 
 
 Artificial Intelligence Workshop III
 
 
 
 *CP 413 706 ระเบียบวิธีวิจัย
 
 3(3-0-6)
 
 
 
 Research Methodology
 
 
 
 *CP 41X XXX วิชาการประยุกต์ใช้ปัญญาประดิษฐ์ข้ามสาขาวิชา
 
 3 หน่วยกิต
 
 
 
 Cross-Disciplinary Applications of Artificial Intelligence
 
 
 
 *CP 41X XXX วิชาเลือกเฉพาะทางด้านคอมพิวเตอร์
 
 6 หน่วยกิต
 
 
 
 Specialized Electives
 
 
 
 **GE 363 789 ผู้ประกอบการสร้างสรรค์
 
 3(3-0-6)
 
 
 
 Creative Entrepreneurs
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 19 หน่วยกิต"
